,Week,month,day,Protocol,Happy photo time,Unhappy photo time,Happy avatar time,Unhappy avatar time,Initial Emotion rating,Final Emotion rating,Ease of use,Emotion change,comp_score
0,1,4.0,26.0,1,0.4545454545454546,0.5,0.0,0.0,0.5714285714285714,0.5,1.0,0.2,pos
2,1,4.0,27.0,1,0.2272727272727273,0.5,0.0,0.0,0.5714285714285714,0.5,1.0,0.2,pos
4,1,4.0,28.0,1,0.4545454545454546,1.0,0.0,0.0,0.5714285714285714,0.375,1.0,0.11111111111111113,neg
6,1,4.0,29.0,1,0.09090909090909091,0.2,0.0,0.0,0.5714285714285714,0.375,1.0,0.11111111111111113,neg
8,1,4.0,30.0,1,0.2272727272727273,0.5,0.0,0.0,0.5714285714285714,0.5,1.0,0.2,pos
16,2,5.0,5.0,1,0.2272727272727273,0.0,0.0,0.0,0.5714285714285714,0.5,2.0,0.2,neg
29,3,5.0,12.0,8,0.2272727272727273,0.5,0.0,0.0,0.14285714285714285,0.25,2.0,0.5555555555555556,pos
30,3,5.0,12.0,8,0.2272727272727273,0.5,0.0,0.0,0.2857142857142857,0.375,2.0,0.40740740740740744,pos
32,3,5.0,13.0,8,0.9090909090909092,0.0,0.0,0.0,0.2857142857142857,0.5,2.0,0.5555555555555556,pos
42,4,5.0,17.0,9,0.0,0.5,0.0,0.0,0.14285714285714285,0.0,2.0,0.11111111111111113,pos
43,4,5.0,18.0,9,0.2272727272727273,0.0,0.0,0.3333333333333333,0.42857142857142855,0.375,2.0,0.2222222222222222,neg
44,4,5.0,19.0,9,1.0,0.0,0.0,0.0,0.42857142857142855,0.125,2.0,0.0,pos
45,4,5.0,20.0,9,0.4545454545454546,0.0,0.0,0.2,0.5714285714285714,0.625,2.0,0.28888888888888886,neg
46,4,5.0,21.0,10,0.13636363636363635,0.0,0.0,0.0,0.5714285714285714,0.25,2.0,0.022222222222222268,neg
56,5,5.0,22.0,11,0.9090909090909092,0.0,0.0,0.0,0.42857142857142855,0.5,2.0,0.33333333333333326,pos
56,5,5.0,22.0,14,0.9090909090909092,0.0,0.0,0.0,0.42857142857142855,0.5,2.0,0.33333333333333326,pos
57,5,5.0,23.0,12,0.2272727272727273,0.0,0.0,0.0,0.5714285714285714,0.625,2.0,0.28888888888888886,pos
58,5,5.0,23.0,14,0.4545454545454546,0.0,0.0,0.0,0.5714285714285714,0.75,2.0,0.3777777777777779,pos
58,5,5.0,23.0,13,0.4545454545454546,0.0,0.0,0.0,0.5714285714285714,0.75,2.0,0.3777777777777779,pos
59,5,5.0,24.0,11,0.4545454545454546,0.0,0.0,0.0,0.2857142857142857,0.375,2.0,0.40740740740740744,pos
60,5,5.0,24.0,12,0.13636363636363635,0.0,0.0,0.0,0.2857142857142857,0.125,2.0,0.11111111111111113,pos
61,5,5.0,25.0,12,0.5454545454545454,0.0,0.0,0.0,0.42857142857142855,0.625,2.0,0.4444444444444443,pos
62,5,5.0,26.0,12,0.2272727272727273,0.0,0.0,0.0,0.14285714285714285,0.25,2.0,0.5555555555555556,pos
64,5,5.0,26.0,3,0.9090909090909092,0.0,0.0,0.0,0.7142857142857142,0.875,2.0,0.33333333333333337,pos
64,5,5.0,26.0,12,0.9090909090909092,0.0,0.0,0.0,0.7142857142857142,0.875,2.0,0.33333333333333337,pos
66,5,5.0,27.0,14,0.4545454545454546,0.0,0.0,0.0,0.5714285714285714,0.625,2.0,0.28888888888888886,pos
66,5,5.0,27.0,11,0.4545454545454546,0.0,0.0,0.0,0.5714285714285714,0.625,2.0,0.28888888888888886,pos
66,5,5.0,27.0,3,0.4545454545454546,0.0,0.0,0.0,0.5714285714285714,0.625,2.0,0.28888888888888886,pos
67,5,5.0,28.0,11,0.2272727272727273,0.0,0.0,0.0,0.5714285714285714,0.5,2.0,0.2,pos
68,5,5.0,28.0,12,0.09090909090909091,0.0,0.0,0.0,0.2857142857142857,0.125,2.0,0.11111111111111113,pos
71,6,5.0,31.0,16,0.0,0.5,0.0,0.0,0.5714285714285714,0.375,2.0,0.11111111111111113,pos
71,6,5.0,31.0,15,0.0,0.5,0.0,0.0,0.5714285714285714,0.375,2.0,0.11111111111111113,pos
72,6,5.0,31.0,15,0.0,0.5,0.0,0.0,0.42857142857142855,0.375,2.0,0.2222222222222222,pos
72,6,5.0,31.0,16,0.0,0.5,0.0,0.0,0.42857142857142855,0.375,2.0,0.2222222222222222,pos
75,6,6.0,2.0,15,0.0,1.0,0.0,0.0,0.5714285714285714,0.25,2.0,0.022222222222222268,neg
75,6,6.0,2.0,16,0.0,1.0,0.0,0.0,0.5714285714285714,0.25,2.0,0.022222222222222268,neg
76,6,6.0,2.0,15,0.0,1.0,0.0,0.0,0.7142857142857142,0.625,2.0,0.18518518518518517,pos
76,6,6.0,2.0,16,0.0,1.0,0.0,0.0,0.7142857142857142,0.625,2.0,0.18518518518518517,pos
87,7,6.0,7.0,18,0.9090909090909092,0.0,0.0,0.0,0.2857142857142857,0.5,2.0,0.5555555555555556,pos
89,7,6.0,8.0,18,0.4545454545454546,0.0,0.0,0.0,1.0,0.875,2.0,0.16666666666666669,pos
94,7,6.0,10.0,18,0.9090909090909092,0.0,0.0,0.0,0.2857142857142857,0.75,2.0,0.8518518518518519,pos
99,8,6.0,13.0,20,0.4545454545454546,0.0,0.0,0.0,0.7142857142857142,0.75,2.0,0.2592592592592593,pos
101,8,6.0,14.0,20,0.6818181818181819,0.0,0.0,0.0,1.0,1.0,2.0,0.2222222222222222,pos
102,8,6.0,15.0,19,0.2272727272727273,0.0,0.0,0.0,0.7142857142857142,0.5,2.0,0.11111111111111113,pos
103,8,6.0,15.0,20,0.36363636363636365,0.0,0.0,0.0,0.7142857142857142,0.75,2.0,0.2592592592592593,neu
105,8,6.0,16.0,20,0.2272727272727273,0.0,0.0,0.0,0.8571428571428571,0.75,2.0,0.17460317460317468,pos
107,8,6.0,17.0,20,0.2727272727272727,0.0,0.0,0.0,0.8571428571428571,0.75,2.0,0.17460317460317468,pos
