,words,count
0,china central bank,110
1,digital yuan,84
2,china digital yuan,34
3,mastercard engage,30
4,china cbdc,28
5,wsj,18
6,china bank,12
7,okexinsights okex,12
8,communist party,12
9,chinese bank,10
10,cnbc,10
11,digitalyuan digital yuan,8
12,central bank,8
13,chinese yuan,8
14,okexinsights okex xbt xmugen,8
15,ecny facilitate renminbi internationalization,8
16,knownews ambcrypto,6
17,dalian commodity exchange,6
18,diverge china,6
19,ama,6
20,crypto news,6
21,cbs,6
22,crypto digital yuan,6
23,pboc digital currency institute hkma,6
24,ccp,6
