,snownlp_scores,vader_comp
2010-2,0.0,1.0212
2011-1,0.0,1.53
2012-1,0.0,0.0
2014-2,0.0,0.0
2019-10,0.0,1.0502
2019-9,1.0095746726218588,0.0
2020-10,337.533773982495,-0.8407999999999998
2020-11,94.51703695270504,6.949000000000001
2020-12,105.3087639639113,15.994399999999995
2020-9,30.073427661041404,0.0
2021-1,47.22865978425772,6.103400000000001
2021-2,256.69943488952885,10.017399999999999
2021-3,203.00925981946887,15.705399999999994
2021-4,393.4923567816728,16.193799999999996
2021-5,199.31493585156076,60.364400000000046
2021-6,168.9202947500287,-6.378599999999999
2021-7,238.70421520587905,172.32300000000043
2021-8,425.5406685550561,53.72999999999998
2021-9,2234.8608360132844,28.516600000000007
